"Genus","OTU","pvalue","seasoncooccurrence","Process"
"Dechloromonas","Zotu2",0.049,"Fall-Summer","AD"
"Lentimicrobium","Zotu7",0.002,"Fall-Summer","AD"
"Rhodoferax","Zotu8",0.002,"Fall-Summer","AD"
"Acidovorax","Zotu12",0.001,"Spring-Winter","AD"
"uncultured","Zotu15",0.013,"Fall-Spring-Winter","AD"
"Pseudarcobacter","Zotu18",0.002,"Fall-Summer","AD"
"Defluviitoga","Zotu20",0.007,"Fall-Summer","AD"
"Lentimicrobium","Zotu30",0.007,"Fall-Summer","AD"
"Thermomonas","Zotu35",0.001,"Fall-Summer","AD"
"Thiothrix","Zotu36",0.011,"Fall-Spring-Winter","AD"
"Rhodobacter","Zotu42",0.011,"Spring-Winter","AD"
"uncultured","Zotu43",0.017,"Spring-Winter","AD"
"Limnohabitans","Zotu48",0.005,"Summer","AD"
"Tetrasphaera","Zotu52",0.001,"Fall-Summer","AD"
"Limnohabitans","Zotu61",0.017,"Spring-Winter","AD"
"Arcobacter","Zotu62",0.035,"Spring-Winter","AD"
"Thiothrix","Zotu63",0.001,"Winter","AD"
"Chryseobacterium","Zotu64",0.001,"Spring","AD"
"Aquabacterium","Zotu65",0.002,"Fall-Summer","AD"
"37-13","Zotu71",0.03,"Fall-Spring-Summer","AD"
"Sphaerotilus","Zotu75",0.014,"Fall-Summer","AD"
"Cloacibacterium","Zotu76",0.003,"Summer","AD"
"Enhydrobacter","Zotu78",0.038,"Fall-Summer","AD"
"uncultured","Zotu79",0.001,"Spring-Winter","AD"
"Flavobacterium","Zotu80",0.001,"Fall-Spring-Winter","AD"
"Sphaerotilus","Zotu81",0.001,"Spring-Winter","AD"
"Rhodoferax","Zotu82",0.027,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu87",0.001,"Spring-Winter","AD"
"T34","Zotu98",0.001,"Spring-Winter","AD"
"Thiothrix","Zotu101",0.015,"Fall","AD"
"uncultured","Zotu103",0.002,"Fall-Summer","AD"
"uncultured","Zotu104",0.001,"Fall-Summer","AD"
"Defluviitoga","Zotu105",0.001,"Summer","AD"
